,,,,,Day 1,,,,,,,,,,,,,,,,,,,,,,,,Day 2,,,,,,,,,,,,,,,,,,,,,,,
Columbus Avenue west of Holyoke Street,October,Bike,Eastbound,1060,1,1,0,2,2,9,29,53,163,93,35,18,15,7,14,14,16,22,17,9,10,3,1,8,1,0,0,2,3,6,25,54,143,87,24,18,14,20,19,10,19,26,27,9,3,2,4,2
Columbus Avenue west of Holyoke Street,October,Bike,Westbound,1051,1,2,1,0,1,4,1,12,23,15,12,11,12,8,23,22,64,114,94,42,36,32,17,11,5,0,2,1,2,3,3,11,12,14,11,6,8,18,19,20,59,112,81,37,26,20,8,15
Columbus Avenue west of Holyoke Street,October,Bike,Total,2111,2,3,1,2,3,13,30,65,186,108,47,29,27,15,37,36,80,136,111,51,46,35,18,19,6,0,2,3,5,9,28,65,155,101,35,24,22,38,38,30,78,138,108,46,29,22,12,17
Columbus Avenue west of Holyoke Street,October,MV,Eastbound,9906,57,39,10,18,28,85,168,329,311,329,290,262,281,263,314,322,317,324,287,222,212,164,148,98,49,35,18,14,27,89,164,311,353,299,229,265,239,306,335,355,318,343,319,257,214,188,176,125
Columbus Avenue west of Holyoke Street,October,MV,Westbound,10773,57,34,31,20,42,70,152,239,300,292,267,289,300,301,323,417,414,463,393,321,244,191,172,116,57,37,27,12,36,56,121,228,290,281,308,288,289,301,326,370,388,457,393,295,232,198,189,146
Columbus Avenue west of Holyoke Street,October,MV,Total,20679,114,73,41,38,70,155,320,568,611,621,557,551,581,564,637,739,731,787,680,543,456,355,320,214,106,72,45,26,63,145,285,539,643,580,537,553,528,607,661,725,706,800,712,552,446,386,365,271
Columbus Avenue west of Massachusetts Avenue,October,Bike,Eastbound,1772,2,0,0,0,2,15,32,102,256,119,61,30,24,29,23,13,32,42,31,10,8,6,6,7,3,0,2,2,2,19,41,115,232,144,37,33,17,25,27,16,45,55,37,30,26,4,6,4
Columbus Avenue west of Massachusetts Avenue,October,Bike,Westbound,1605,4,3,2,2,0,1,10,15,31,18,12,13,8,10,29,35,97,170,139,63,57,42,29,18,5,2,1,2,0,2,13,14,21,16,17,8,6,24,32,25,108,165,129,64,48,36,31,28
Columbus Avenue west of Massachusetts Avenue,October,Bike,Total,3377,6,3,2,2,2,16,42,117,287,137,73,43,32,39,52,48,129,212,170,73,65,48,35,25,8,2,3,4,2,21,54,129,253,160,54,41,23,49,59,41,153,220,166,94,74,40,37,32
Columbus Avenue west of Massachusetts Avenue,October,MV,Eastbound,12770,89,39,22,22,48,135,276,484,435,401,291,281,280,308,365,341,443,427,355,286,306,247,177,109,64,48,28,22,38,124,307,457,461,347,266,307,325,356,387,463,446,465,385,332,290,298,230,157
Columbus Avenue west of Massachusetts Avenue,October,MV,Westbound,11490,77,45,38,20,28,89,232,278,331,317,252,292,262,289,325,405,411,409,388,309,282,231,214,181,94,60,35,22,23,82,198,297,330,296,304,288,296,295,340,391,398,398,337,283,302,245,262,209
Columbus Avenue west of Massachusetts Avenue,October,MV,Total,24260,166,84,60,42,76,224,508,762,766,718,543,573,542,597,690,746,854,836,743,595,588,478,391,290,158,108,63,44,61,206,505,754,791,643,570,595,621,651,727,854,844,863,722,615,592,543,492,366
Commonwealth Avenue Eastbound west of Silber Way,September,Bike,Eastbound,2091,4,1,2,2,4,10,29,107,156,115,91,49,58,51,31,80,64,62,53,32,33,25,12,7,1,1,1,2,1,14,32,96,168,107,78,46,52,48,51,49,51,55,51,35,35,19,15,5
Commonwealth Avenue Eastbound west of Silber Way,September,Bike,Westbound,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Commonwealth Avenue Eastbound west of Silber Way,September,Bike,Total,2091,4,1,2,2,4,10,29,107,156,115,91,49,58,51,31,80,64,62,53,32,33,25,12,7,1,1,1,2,1,14,32,96,168,107,78,46,52,48,51,49,51,55,51,35,35,19,15,5
Commonwealth Avenue Eastbound west of Silber Way,September,MV,Eastbound,17999,128,71,40,26,25,54,132,357,500,495,516,509,519,619,475,618,667,663,666,505,379,451,365,226,143,89,64,38,32,64,152,338,439,489,513,548,546,560,579,524,641,636,601,419,456,463,412,247
Commonwealth Avenue Eastbound west of Silber Way,September,MV,Westbound,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Commonwealth Avenue Eastbound west of Silber Way,September,MV,Total,17999,128,71,40,26,25,54,132,357,500,495,516,509,519,619,475,618,667,663,666,505,379,451,365,226,143,89,64,38,32,64,152,338,439,489,513,548,546,560,579,524,641,636,601,419,456,463,412,247
Commonwealth Avenue west of Arlington Street,October,Bike,Eastbound,1012,1,0,0,0,0,3,22,57,128,63,29,16,32,14,14,17,27,28,25,11,7,6,2,1,0,0,0,0,1,4,19,64,139,65,15,18,35,22,8,11,32,29,19,8,5,5,7,3
Commonwealth Avenue west of Arlington Street,October,Bike,Westbound,728,0,1,0,0,0,3,4,9,16,6,8,7,13,14,19,13,25,91,50,21,9,12,3,1,1,0,0,1,0,2,8,8,16,9,4,91,13,9,11,16,32,63,50,24,17,18,7,3
Commonwealth Avenue west of Arlington Street,October,Bike,Total,1740,1,1,0,0,0,6,26,66,144,69,37,23,45,28,33,30,52,119,75,32,16,18,5,2,1,0,0,1,1,6,27,72,155,74,19,109,48,31,19,27,64,92,69,32,22,23,14,6
Commonwealth Avenue west of Arlington Street,October,MV,Eastbound,16010,57,29,24,15,26,87,198,429,570,527,456,438,474,413,432,499,531,585,540,410,313,258,195,148,82,49,23,21,24,80,203,451,615,612,455,450,466,426,491,550,584,551,505,487,330,355,370,176
Commonwealth Avenue west of Arlington Street,October,MV,Westbound,9097,24,13,10,6,18,52,88,200,227,247,271,243,238,237,255,260,346,400,353,231,128,113,95,55,19,13,11,4,15,47,94,172,225,261,294,375,327,351,367,358,423,416,364,185,135,120,235,176
Commonwealth Avenue west of Arlington Street,October,MV,Total,25107,81,42,34,21,44,139,286,629,797,774,727,681,712,650,687,759,877,985,893,641,441,371,290,203,101,62,34,25,39,127,297,623,840,873,749,825,793,777,858,908,1007,967,869,672,465,475,605,352
Commonwealth Avenue Westbound west of Silber Way,October,Bike,Eastbound,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Commonwealth Avenue Westbound west of Silber Way,October,Bike,Westbound,1675,3,2,3,3,1,2,6,12,32,19,22,39,40,29,51,54,71,124,100,74,54,54,30,15,8,4,1,1,1,5,13,9,12,30,33,26,50,41,34,57,77,99,107,60,61,43,44,19
Commonwealth Avenue Westbound west of Silber Way,October,Bike,Total,1675,3,2,3,3,1,2,6,12,32,19,22,39,40,29,51,54,71,124,100,74,54,54,30,15,8,4,1,1,1,5,13,9,12,30,33,26,50,41,34,57,77,99,107,60,61,43,44,19
Commonwealth Avenue Westbound west of Silber Way,October,MV,Eastbound,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Commonwealth Avenue Westbound west of Silber Way,October,MV,Westbound,16812,109,107,46,30,37,149,202,313,444,521,605,504,473,479,506,514,531,583,575,438,443,457,263,195,136,89,48,24,41,147,192,357,412,520,465,425,515,434,440,504,506,547,526,472,446,486,311,245
Commonwealth Avenue Westbound west of Silber Way,October,MV,Total,16812,109,107,46,30,37,149,202,313,444,521,605,504,473,479,506,514,531,583,575,438,443,457,263,195,136,89,48,24,41,147,192,357,412,520,465,425,515,434,440,504,506,547,526,472,446,486,311,245
Congress Street south of Milk Street,October,Bike,Northbound,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Congress Street south of Milk Street,October,Bike,Southbound,770,0,0,0,1,0,1,10,35,87,60,15,14,19,15,5,22,14,28,21,7,5,4,1,1,1,1,1,1,0,2,9,40,58,50,19,20,19,11,17,60,19,40,9,12,4,6,3,3
Congress Street south of Milk Street,October,Bike,Total,770,0,0,0,1,0,1,10,35,87,60,15,14,19,15,5,22,14,28,21,7,5,4,1,1,1,1,1,1,0,2,9,40,58,50,19,20,19,11,17,60,19,40,9,12,4,6,3,3
Congress Street south of Milk Street,October,MV,Northbound,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Congress Street south of Milk Street,October,MV,Southbound,26533,144,106,79,37,85,209,362,704,901,858,725,707,717,720,837,961,901,906,822,598,487,419,348,330,203,113,82,55,99,197,352,642,876,827,659,775,767,743,840,1018,996,895,782,745,560,471,564,309
Congress Street south of Milk Street,October,MV,Total,26533,144,106,79,37,85,209,362,704,901,858,725,707,717,720,837,961,901,906,822,598,487,419,348,330,203,113,82,55,99,197,352,642,876,827,659,775,767,743,840,1018,996,895,782,745,560,471,564,309
D Street south of Fargo Street,October,Bike,Northbound,184,0,0,0,0,1,2,7,11,24,9,9,2,4,0,5,1,6,1,2,1,0,1,0,0,0,0,0,0,0,2,8,17,24,12,7,3,3,3,1,2,2,3,3,4,4,0,0,0
D Street south of Fargo Street,October,Bike,Southbound,180,2,0,0,0,0,0,1,0,3,4,3,0,4,3,4,10,9,17,16,5,5,2,2,1,0,0,0,0,0,0,0,3,0,0,2,0,7,4,4,5,5,25,15,4,8,0,6,1
D Street south of Fargo Street,October,Bike,Total,364,2,0,0,0,1,2,8,11,27,13,12,2,8,3,9,11,15,18,18,6,5,3,2,1,0,0,0,0,0,2,8,20,24,12,9,3,10,7,5,7,7,28,18,8,12,0,6,1
D Street south of Fargo Street,October,MV,Northbound,8261,48,24,18,19,35,104,165,289,392,295,242,221,197,221,256,230,265,255,205,178,141,129,115,84,54,34,13,16,62,105,163,285,294,260,215,183,216,245,242,247,267,270,221,195,154,149,138,105
D Street south of Fargo Street,October,MV,Southbound,8295,61,46,24,28,66,127,181,190,264,269,233,207,206,230,237,273,279,323,270,177,152,120,99,79,42,33,14,19,67,118,162,207,252,238,240,240,258,252,229,302,275,271,258,189,138,148,119,83
D Street south of Fargo Street,October,MV,Total,16556,109,70,42,47,101,231,346,479,656,564,475,428,403,451,493,503,544,578,475,355,293,249,214,163,96,67,27,35,129,223,325,492,546,498,455,423,474,497,471,549,542,541,479,384,292,297,257,188
D Street south of West Broadway,October,Bike,Northbound,235,0,1,0,1,1,2,4,9,29,17,4,4,3,1,4,9,2,7,5,0,2,0,0,1,1,0,0,0,0,2,3,16,34,16,9,3,5,5,4,4,1,7,6,6,4,0,2,1
D Street south of West Broadway,October,Bike,Southbound,281,1,0,0,0,0,0,2,3,5,2,3,0,2,2,8,13,11,19,31,20,6,2,3,4,1,0,0,0,0,0,3,3,7,2,3,1,4,6,4,5,12,34,30,10,5,6,6,2
D Street south of West Broadway,October,Bike,Total,516,1,1,0,1,1,2,6,12,34,19,7,4,5,3,12,22,13,26,36,20,8,2,3,5,2,0,0,0,0,2,6,19,41,18,12,4,9,11,8,9,13,41,36,16,9,6,8,3
D Street south of West Broadway,October,MV,Northbound,3875,9,12,5,3,12,45,81,165,203,127,92,91,85,86,76,118,111,127,115,93,68,46,47,27,13,8,6,10,21,52,84,158,183,148,97,76,96,81,97,108,130,147,141,141,97,43,58,36
D Street south of West Broadway,October,MV,Southbound,9104,54,27,12,10,23,56,116,192,253,153,189,210,191,192,281,339,382,472,410,352,239,152,135,68,55,26,20,9,13,48,107,170,223,176,165,205,198,209,283,355,384,437,365,342,268,215,185,138
D Street south of West Broadway,October,MV,Total,12979,63,39,17,13,35,101,197,357,456,280,281,301,276,278,357,457,493,599,525,445,307,198,182,95,68,34,26,19,34,100,191,328,406,324,262,281,294,290,380,463,514,584,506,483,365,258,243,174
Dorchester Avenue north of B Street,October,Bike,Northbound,418,1,1,1,1,1,6,5,26,43,24,11,7,8,5,8,3,3,13,8,4,6,7,0,1,1,0,1,0,1,4,12,23,41,22,10,8,5,8,7,3,7,22,11,10,13,9,7,0
Dorchester Avenue north of B Street,October,Bike,Southbound,477,2,0,2,0,0,0,1,1,9,3,7,12,7,6,9,13,22,45,35,22,9,6,4,2,1,1,1,2,0,0,4,3,13,5,3,6,10,9,7,20,23,50,33,25,23,8,8,5
Dorchester Avenue north of B Street,October,Bike,Total,895,3,1,3,1,1,6,6,27,52,27,18,19,15,11,17,16,25,58,43,26,15,13,4,3,2,1,2,2,1,4,16,26,54,27,13,14,15,17,14,23,30,72,44,35,36,17,15,5
Dorchester Avenue north of B Street,October,MV,Northbound,31056,89,77,63,84,157,602,1301,1427,1406,1124,983,704,623,733,682,819,825,852,781,595,381,347,235,175,125,73,69,82,180,733,1355,1432,1355,1122,1090,849,661,678,800,977,881,904,725,560,441,346,317,236
Dorchester Avenue north of B Street,October,MV,Southbound,25019,313,173,108,87,133,321,428,458,512,544,514,502,510,638,1093,1102,987,1099,1005,761,454,350,298,232,155,123,94,69,123,277,404,461,517,528,692,641,694,678,1038,1076,1016,1016,813,652,453,311,330,236
Dorchester Avenue north of B Street,October,MV,Total,56075,402,250,171,171,290,923,1729,1885,1918,1668,1497,1206,1133,1371,1775,1921,1812,1951,1786,1356,835,697,533,407,280,196,163,151,303,1010,1759,1893,1872,1650,1782,1490,1355,1356,1838,2053,1897,1920,1538,1212,894,657,647,472
Dorchester Avenue north of Doris Street,October,Bike,Northbound,326,1,0,0,2,2,2,6,26,33,18,9,3,4,5,5,6,9,16,4,3,5,3,2,0,2,0,1,2,1,4,8,20,30,21,10,5,4,3,10,4,5,14,11,3,3,0,1,0
Dorchester Avenue north of Doris Street,October,Bike,Southbound,224,0,1,1,0,2,0,2,2,9,1,1,4,2,6,2,9,10,0,27,14,11,2,6,0,0,1,1,0,1,1,1,3,4,3,1,4,3,6,2,6,6,30,20,4,8,2,5,0
Dorchester Avenue north of Doris Street,October,Bike,Total,550,1,1,1,2,4,2,8,28,42,19,10,7,6,11,7,15,19,16,31,17,16,5,8,0,2,1,2,2,2,5,9,23,34,24,11,9,7,9,12,10,11,44,31,7,11,2,6,0
Dorchester Avenue north of Doris Street,October,MV,Northbound,16129,124,87,65,62,147,374,497,379,392,419,395,388,386,442,440,408,422,443,441,453,411,309,259,158,102,88,67,76,158,449,509,336,341,442,478,410,401,444,439,417,452,463,462,452,411,339,272,220
Dorchester Avenue north of Doris Street,October,MV,Southbound,15652,257,119,79,56,88,229,300,385,414,398,375,387,430,401,400,450,424,401,433,461,444,319,288,217,161,127,78,83,91,235,322,373,402,408,332,441,432,400,435,428,448,432,439,489,461,311,287,282
Dorchester Avenue north of Doris Street,October,MV,Total,31781,381,206,144,118,235,603,797,764,806,817,770,775,816,843,840,858,846,844,874,914,855,628,547,375,263,215,145,159,249,684,831,709,743,850,810,851,833,844,874,845,900,895,901,941,872,650,559,502
Dorchester Avenue north of Dracut Street,October,Bike,Northbound,106,0,0,0,0,0,4,1,8,12,4,0,1,3,3,0,4,4,4,4,1,0,3,1,0,0,0,0,0,0,3,1,8,9,3,2,1,1,3,1,3,2,3,2,2,1,2,2,0
Dorchester Avenue north of Dracut Street,October,Bike,Southbound,76,0,0,0,0,0,1,0,2,0,1,0,0,2,3,0,1,3,7,5,5,0,3,1,0,0,0,0,0,0,1,0,2,3,1,1,1,2,3,2,4,2,8,5,3,2,0,1,1
Dorchester Avenue north of Dracut Street,October,Bike,Total,182,0,0,0,0,0,5,1,10,12,5,0,1,5,6,0,5,7,11,9,6,0,6,2,0,0,0,0,0,0,4,1,10,12,4,3,2,3,6,3,7,4,11,7,5,3,2,3,1
Dorchester Avenue north of Dracut Street,October,MV,Northbound,10045,48,38,31,40,69,219,319,333,295,307,270,248,226,252,262,280,305,265,264,243,200,181,141,97,51,32,35,33,73,250,399,339,326,299,266,252,238,252,255,307,269,254,278,290,222,165,134,93
Dorchester Avenue north of Dracut Street,October,MV,Southbound,9636,150,42,29,32,44,81,169,215,262,220,232,240,245,258,247,291,320,314,295,301,253,218,143,121,94,58,38,33,51,98,177,199,233,241,211,270,237,266,285,295,317,354,340,296,267,235,183,136
Dorchester Avenue north of Dracut Street,October,MV,Total,19681,198,80,60,72,113,300,488,548,557,527,502,488,471,510,509,571,625,579,559,544,453,399,284,218,145,90,73,66,124,348,576,538,559,540,477,522,475,518,540,602,586,608,618,586,489,400,317,229
Dorchester Avenue south of Greenwich Street,October,Bike,Northbound,188,1,0,0,0,1,8,4,8,23,8,4,2,5,6,1,3,9,2,6,1,8,3,0,0,1,0,1,0,1,5,6,13,15,11,5,4,1,1,7,0,8,1,4,1,0,0,0,0
Dorchester Avenue south of Greenwich Street,October,Bike,Southbound,217,1,1,0,1,0,4,1,0,1,7,0,1,2,4,3,4,16,19,13,13,9,1,2,0,0,1,1,3,1,2,0,2,7,3,1,4,6,1,3,8,8,25,19,9,4,1,4,1
Dorchester Avenue south of Greenwich Street,October,Bike,Total,405,2,1,0,1,1,12,5,8,24,15,4,3,7,10,4,7,25,21,19,14,17,4,2,0,1,1,2,3,2,7,6,15,22,14,6,8,7,2,10,8,16,26,23,10,4,1,4,1
Dorchester Avenue south of Greenwich Street,October,MV,Northbound,15161,97,73,62,63,140,400,528,456,412,421,402,411,386,396,374,406,360,376,405,346,280,258,193,144,105,81,55,59,154,523,639,472,388,440,401,413,397,386,359,369,392,403,383,404,309,282,192,166
Dorchester Avenue south of Greenwich Street,October,MV,Southbound,16268,293,109,90,61,90,165,277,337,364,428,406,417,434,446,430,493,448,457,479,500,537,404,301,230,197,139,99,79,94,152,274,337,370,398,410,404,441,426,405,430,401,449,487,489,538,425,315,313
Dorchester Avenue south of Greenwich Street,October,MV,Total,31429,390,182,152,124,230,565,805,793,776,849,808,828,820,842,804,899,808,833,884,846,817,662,494,374,302,220,154,138,248,675,913,809,758,838,811,817,838,812,764,799,793,852,870,893,847,707,507,479
Franklin Street north of Alcott Street,September,Bike,Northbound,866,6,1,1,0,0,4,12,32,51,39,24,23,9,15,14,32,33,41,32,17,22,15,9,9,6,0,5,1,0,2,21,33,58,30,21,11,8,7,20,29,17,46,38,24,17,16,5,10
Franklin Street north of Alcott Street,September,Bike,Southbound,966,7,4,1,1,0,1,9,26,39,19,15,10,11,12,9,30,28,66,73,35,28,29,17,12,12,3,1,1,0,0,18,31,35,16,20,10,10,14,16,19,34,50,57,50,28,25,18,16
Franklin Street north of Alcott Street,September,Bike,Total,1832,13,5,2,1,0,5,21,58,90,58,39,33,20,27,23,62,61,107,105,52,50,44,26,21,18,3,6,2,0,2,39,64,93,46,41,21,18,21,36,48,51,96,95,74,45,41,23,26
Franklin Street north of Alcott Street,September,MV,Northbound,1665,5,1,1,0,2,8,28,48,64,46,42,42,48,40,46,52,69,85,51,56,32,24,23,20,12,9,4,0,2,5,28,44,73,36,34,48,40,48,52,50,55,66,62,49,49,29,22,15
Franklin Street north of Alcott Street,September,MV,Southbound,1590,4,2,2,1,1,12,40,64,58,44,36,45,46,56,44,48,58,62,57,37,29,34,21,12,12,11,4,1,1,11,27,65,61,46,42,28,35,41,40,49,51,54,50,44,32,30,24,18
Franklin Street north of Alcott Street,September,MV,Total,3255,9,3,3,1,3,20,68,112,122,90,78,87,94,96,90,100,127,147,108,93,61,58,44,32,24,20,8,1,3,16,55,109,134,82,76,76,75,89,92,99,106,120,112,93,81,59,46,33
Harvard Avenue north of Commonwealth Avenue,September,Bike,Northbound,1010,7,2,2,0,1,5,9,29,42,31,17,22,13,14,17,38,36,58,51,35,22,27,18,8,6,3,1,1,0,5,11,21,44,34,18,11,17,13,26,37,33,42,63,34,23,24,27,12
Harvard Avenue north of Commonwealth Avenue,September,Bike,Southbound,922,5,3,1,2,0,3,15,35,52,33,25,16,10,14,13,32,21,35,22,29,42,27,13,8,3,0,2,1,0,3,21,45,44,33,23,14,12,13,22,16,22,37,40,33,26,30,16,10
Harvard Avenue north of Commonwealth Avenue,September,Bike,Total,1932,12,5,3,2,1,8,24,64,94,64,42,38,23,28,30,70,57,93,73,64,64,54,31,16,9,3,3,2,0,8,32,66,88,67,41,25,29,26,48,53,55,79,103,67,49,54,43,22
Harvard Avenue north of Commonwealth Avenue,September,MV,Northbound,13934,91,47,24,16,30,75,210,414,450,386,327,391,394,379,411,395,398,347,371,396,308,321,257,172,113,57,34,18,26,96,216,427,452,357,322,370,403,378,394,417,409,362,403,478,488,467,376,261
Harvard Avenue north of Commonwealth Avenue,September,MV,Southbound,13859,87,45,35,25,35,93,253,375,354,372,405,388,399,349,394,387,453,461,497,428,312,274,223,160,91,65,41,30,27,96,249,341,376,365,345,351,388,392,423,415,431,487,478,447,395,351,301,170
Harvard Avenue north of Commonwealth Avenue,September,MV,Total,27793,178,92,59,41,65,168,463,789,804,758,732,779,793,728,805,782,851,808,868,824,620,595,480,332,204,122,75,48,53,192,465,768,828,722,667,721,791,770,817,832,840,849,881,925,883,818,677,431
L Street north of East Broadway,October,Bike,Northbound,104,0,0,0,0,0,1,4,6,10,6,3,2,1,0,0,4,4,1,3,0,2,2,0,1,0,0,0,0,0,0,2,9,13,7,5,1,0,2,1,4,3,1,1,1,2,1,0,1
L Street north of East Broadway,October,Bike,Southbound,161,0,0,0,0,0,1,2,3,3,0,1,2,3,1,1,5,2,22,23,6,3,3,2,2,0,0,0,0,0,0,2,3,1,2,1,1,2,2,2,7,7,15,11,8,5,4,0,3
L Street north of East Broadway,October,Bike,Total,265,0,0,0,0,0,2,6,9,13,6,4,4,4,1,1,9,6,23,26,6,5,5,2,3,0,0,0,0,0,0,4,12,14,9,6,2,2,4,3,11,10,16,12,9,7,5,0,4
L Street north of East Broadway,October,MV,Northbound,15167,39,26,30,27,132,449,644,688,654,590,409,341,311,308,265,332,355,311,342,305,257,188,122,79,52,29,27,31,130,471,754,705,653,540,430,393,323,307,342,418,441,426,421,305,231,184,197,153
L Street north of East Broadway,October,MV,Southbound,16124,145,66,30,21,59,132,176,318,374,299,319,327,366,383,563,659,670,788,753,553,379,328,214,139,86,39,24,29,41,133,218,332,346,317,352,369,376,432,545,633,700,721,658,555,387,310,261,199
L Street north of East Broadway,October,MV,Total,31291,184,92,60,48,191,581,820,1006,1028,889,728,668,677,691,828,991,1025,1099,1095,858,636,516,336,218,138,68,51,60,171,604,972,1037,999,857,782,762,699,739,887,1051,1141,1147,1079,860,618,494,458,352
Longfellow Bridge Eastbound west of Charles Street,October,Bike,Eastbound,2451,0,0,1,0,1,12,35,147,327,164,47,47,48,24,34,36,66,97,75,33,17,18,6,4,1,1,1,2,1,8,37,126,300,165,59,34,35,34,42,36,75,89,81,31,26,12,11,5
Longfellow Bridge Eastbound west of Charles Street,October,Bike,Westbound,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Longfellow Bridge Eastbound west of Charles Street,October,Bike,Total,2451,0,0,1,0,1,12,35,147,327,164,47,47,48,24,34,36,66,97,75,33,17,18,6,4,1,1,1,2,1,8,37,126,300,165,59,34,35,34,42,36,75,89,81,31,26,12,11,5
Longfellow Bridge Eastbound west of Charles Street,October,MV,Eastbound,18491,67,35,9,1,12,84,204,396,410,453,415,383,379,502,605,764,900,847,775,458,322,323,247,140,72,35,31,15,31,111,213,390,429,491,520,527,508,636,725,771,890,895,813,522,366,321,269,179
Longfellow Bridge Eastbound west of Charles Street,October,MV,Westbound,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Longfellow Bridge Eastbound west of Charles Street,October,MV,Total,18491,67,35,9,1,12,84,204,396,410,453,415,383,379,502,605,764,900,847,775,458,322,323,247,140,72,35,31,15,31,111,213,390,429,491,520,527,508,636,725,771,890,895,813,522,366,321,269,179
Longwood Avenue east of Pilgrim Road,September,Bike,Eastbound,1626,2,0,0,0,1,6,47,95,208,177,87,40,30,20,9,15,18,19,7,16,21,14,5,1,0,0,0,1,2,9,37,124,221,159,52,24,25,19,14,10,18,16,17,10,7,7,8,8
Longwood Avenue east of Pilgrim Road,September,Bike,Westbound,1666,5,2,1,5,0,2,4,11,11,10,11,17,24,23,29,36,85,205,149,92,56,40,32,16,4,1,4,0,1,1,3,12,9,12,10,19,20,20,34,29,83,180,125,85,60,43,35,10
Longwood Avenue east of Pilgrim Road,September,Bike,Total,3292,7,2,1,5,1,8,51,106,219,187,98,57,54,43,38,51,103,224,156,108,77,54,37,17,4,1,4,1,3,10,40,136,230,171,62,43,45,39,48,39,101,196,142,95,67,50,43,18
Longwood Avenue east of Pilgrim Road,September,MV,Eastbound,8163,33,15,14,7,15,57,182,291,262,281,237,204,222,207,210,243,243,220,205,185,166,165,165,100,25,23,12,9,12,66,178,292,298,285,253,241,227,238,264,251,257,274,270,196,122,136,206,99
Longwood Avenue east of Pilgrim Road,September,MV,Westbound,11470,33,14,15,19,40,127,333,438,340,320,289,313,288,262,339,355,386,386,401,309,201,182,187,113,27,29,15,15,40,107,303,445,363,347,321,275,327,296,316,360,397,399,427,290,234,191,162,94
Longwood Avenue east of Pilgrim Road,September,MV,Total,19633,66,29,29,26,55,184,515,729,602,601,526,517,510,469,549,598,629,606,606,494,367,347,352,213,52,52,27,24,52,173,481,737,661,632,574,516,554,534,580,611,654,673,697,486,356,327,368,193
Main Street south of Sullivan Square,October,Bike,Northbound,431,1,1,0,0,0,2,3,6,6,3,1,4,1,10,7,0,23,57,46,14,11,8,1,3,0,3,0,0,0,0,5,3,8,3,3,6,2,9,5,16,24,39,45,25,11,5,6,5
Main Street south of Sullivan Square,October,Bike,Southbound,576,0,0,1,0,3,4,18,48,89,43,10,6,5,4,5,15,9,14,3,3,3,5,2,0,0,0,0,0,1,6,15,48,79,25,13,11,11,11,5,9,15,11,10,3,2,5,3,3
